[2024-03-21 15:23:04,586] [drone_actions] INFO Overall State 2: Severe
[2024-03-21 15:23:04,586] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-21 15:23:05,583] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-21 15:23:05,587] [drone_actions] INFO Battery State 2: Severe
[2024-03-21 15:23:06,589] [drone_actions] INFO Battery State 2: Severe
[2024-03-21 15:23:07,586] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-21 15:23:07,587] [drone_actions] INFO Overall State 3: Critical
[2024-03-21 15:23:07,587] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-21 15:23:07,591] [drone_actions] INFO Battery State 3: Critical
[2024-03-21 15:23:07,592] [drone_actions] INFO Overall State 3: Critical
[2024-03-21 15:23:08,594] [drone_actions] INFO Battery State 3: Critical
